customer_id,surname,location_id,source_row_number
15565701,Ferri,3,1288
15565706,Akobundu,3,4199
15565714,Cattaneo,1,7091
15565779,Kent,2,2021
15565796,Docherty,2,3698
15565806,Toosey,1,3417
15565878,Bates,3,6882
15565879,Riley,1,9515
15565891,Dipietro,1,5796
15565996,Arnold,1,7187
15566030,Tu,2,6476
15566091,Thomsen,3,913
15566111,Estes,1,425
15566139,Ts'ui,1,9632
15566156,Franklin,2,982
15566211,Hsu,2,1463
15566251,Ferrari,1,1141
15566253,Manning,2,5425
15566269,Chialuka,1,5345
15566292,Okwuadigbo,3,704
15566295,Sanders,1,4151
15566312,Jolly,3,6355
15566378,Tillman,1,9514
15566380,Drury,3,7787
15566467,Hannah,2,4444
15566494,Fang,1,2045
15566495,Hanson,3,7228
15566531,Iloerika,2,9678
15566543,Aldridge,3,9962
15566563,Duigan,1,7738
15566594,McKenzie,3,411
15566633,Freeman,2,3905
15566660,Cole,1,4231
15566689,Chimaoke,3,3193
15566708,Chidalu,1,2758
15566735,Obialo,2,8429
15566740,Nazarova,3,5542
15566790,McIntyre,1,8182
15566843,Gotch,2,1906
15566891,Kinder,2,6904
15566894,Gray,1,6426
15566958,Li Fonti,3,1887
15566988,Iqbal,2,5932
15567013,De Luca,3,5550
15567063,Manna,2,4401
15567078,Kovaleva,1,4640
15567114,McGarry,1,3320
15567147,Ratten,3,8378
15567246,Selwyn,2,5350
15567328,Ch'en,3,4043
15567333,Archambault,1,2584
15567335,Allsop,1,4235
15567339,Shaw,1,9113
15567367,Tao,2,800
15567383,Slone,2,8758
15567399,Enderby,2,2000
15567422,Chiazagomekpele,1,1724
15567431,Kodilinyechukwu,1,6167
15567437,Emenike,2,8728
15567442,Ibezimako,1,5509
15567446,Coffman,2,598
15567486,Li,3,2557
15567506,Cheatham,2,8487
15567557,Chien,1,4205
15567630,Bruce,2,5272
15567725,Kodilinyechukwu,1,8545
15567778,Genovese,2,8524
15567802,Childs,3,4805
15567832,Shih,1,535
15567834,Nieves,1,7346
15567839,Gordon,1,7192
15567855,Chukwufumnanya,1,8929
15567860,Burrows,3,7283
15567893,Lei,2,6645
15567897,Chiazagomekpere,2,8444
15567919,Lazarev,2,7573
15567923,Barese,1,9201
15567980,Frater,2,2450
15567991,Obiuto,3,5882
15567993,Palmer,3,1711
15568006,Ukaegbunam,1,4512
15568025,Hsueh,1,2447
15568032,Moore,2,8174
15568044,Butusov,1,3354
15568046,Izuchukwu,1,4683
15568088,Jamieson,2,6814
15568104,Zubarev,1,5677
15568106,L?,1,1554
15568120,Lacross,1,3495
15568162,Sung,3,7066
15568164,Istomin,1,8465
15568238,Diaz,3,5098
15568240,Ting,2,383
15568326,Kenenna,1,9181
15568328,Black,1,3883
15568360,Rolon,3,1526
15568429,Mitchell,3,4435
15568449,Fu,3,6754
15568469,Buckley,1,7304
15568487,Gorshkov,1,5493
15568506,Forbes,2,511
15568519,Wood,1,8338
15568562,Moss,1,6289
15568573,Graham,2,3732
15568595,Fleming,1,659
15568742,Parkes,1,6368
15568748,Poole,2,225
15568819,Chiganu,2,7591
15568834,Howells,3,6025
15568849,Bryan,3,9159
15568876,Hughes,1,9915
15568878,Cheng,3,7352
15568885,Scott,2,5741
15568904,Kruglova,2,7808
15568915,Bailey,1,3845
15568953,Alexeieva,1,3771
15568963,Naquin,2,1749
15568982,Hao,1,20
15569050,Farrell,1,1009
15569079,Hagins,2,4034
15569098,Winifred,1,4152
15569120,Lucas,1,4983
15569178,Kharlamov,1,1679
15569187,Fleming,3,1949
15569209,Amaechi,3,1841
15569222,Mendes,1,2311
15569247,Mitchell,3,1140
15569248,Milanesi,1,3521
15569249,Howarth,1,6965
15569264,Yobanna,1,5324
15569266,Rahman,1,9994
15569274,Pisano,2,4885
15569364,Victor,1,4450
15569394,Bailey,1,7653
15569410,Tang,2,1751
15569423,Cunningham,3,1650
15569430,Burrows,3,8295
15569432,Macleod,1,6775
15569438,Mai,2,4181
15569446,Tu,1,4246
15569451,Miller,1,1204
15569452,Butler,2,9187
15569503,Yeh,1,2065
15569526,Morales,1,9765
15569571,Davydova,2,2540
15569572,Sopuluchi,1,3643
15569590,Yoo,2,55
15569595,Walker,1,7596
15569624,Feng,2,9052
15569626,Miller,3,8246
15569641,Sung,2,3157
15569654,Munro,2,6201
15569666,Goddard,1,5848
15569670,Alexeyeva,2,4931
15569678,Cocci,2,2162
15569682,Leckie,2,7465
15569759,Rawling,1,5901
15569764,Garner,2,5654
15569807,Ejimofor,1,646
15569867,Chinweuba,1,7871
15569878,Dale,1,5517
15569892,Johnstone,1,9997
15569917,Obijiaku,3,7555
15569945,Horsley,3,5847
15569976,Woronoff,2,8578
15570002,Burlingame,2,8924
15570004,Tsou,1,2392
15570051,Gill,2,4394
15570060,Palerma,1,977
15570073,Marian,3,9546
15570086,Lynch,2,7723
15570087,Parry-Okeden,1,4530
15570134,Padovano,1,799
15570141,P'eng,1,8205
15570145,Long,1,9700
15570192,Henry,2,8993
15570194,Ikemefuna,1,8827
15570205,Tao,3,1687
15570271,Wan,3,9017
15570289,Benson,2,8727
15570299,Martin,2,7792
15570326,Wilkins,1,1181
15570360,Wan,1,3429
15570379,Whitelegge,3,5839
15570414,Chizoba,3,6356
15570417,Chien,1,1044
15570485,Udegbunam,3,8818
15570508,Azubuike,1,7327
15570533,Conti,2,9601
15570601,Cheng,1,1856
15570629,Alexeyeva,2,3383
15570681,Chiang,1,9210
15570769,Kibble,1,2909
15570835,Fallaci,2,2273
15570855,Leonard,1,8262
15570857,Kambinachi,2,8560
15570859,Froggatt,2,1992
15570895,Ch'in,1,6251
15570908,Harding,3,8741
15570912,Ogbonnaya,2,6785
15570931,Grant,1,7910
15570932,Pirozzi,1,3070
15570943,Artemyeva,2,2882
15570947,Bruny,3,7358
15570970,Han,1,6933
15570990,Begley,3,7208
15571002,Yusupov,1,956
15571059,Martin,1,3086
15571065,Lehr,3,9393
15571081,Hansen,1,7261
15571121,Kodilinyechukwu,1,7005
15571144,Ives,1,6104
15571148,Baranov,3,2489
15571193,Morrison,2,5963
15571221,Bergamaschi,2,785
15571244,Tung,3,4907
15571261,Toscani,2,4421
15571281,Ts'ao,1,9506
15571284,Elmore,2,7278
15571302,Estep,2,3379
15571305,Stephenson,2,2064
15571415,Okwudiliolisa,2,7085
15571476,Kelly,3,5744
15571529,Kirby,2,9477
15571550,Dore,1,1639
15571571,Ting,2,7607
15571586,Briggs,3,9452
15571666,Shaw,2,4602
15571689,Kelechi,1,3636
15571752,Romani,2,1380
15571756,Ohearn,1,9789
15571778,Trentini,1,1460
15571816,Ritchie,3,560
15571843,Lawrence,3,8142
15571869,Lei,2,6520
15571873,Sung,1,8026
15571917,Eluemuno,2,9294
15571928,Fraser,1,882
15571940,Afamefula,3,7743
15571958,McIntosh,3,3589
15571973,Chinwemma,1,724
15571995,Harper,2,6242
15572021,Ts'ao,2,9741
15572022,Han,1,8141
15572038,Chijindum,2,5713
15572050,Yefimov,2,8164
15572051,Kennedy,1,5119
15572073,Yao,3,9330
15572093,Han,1,1685
15572114,Shih,3,9755
15572145,Ashton,1,4214
15572158,Blackburn,3,4969
15572174,Mazzi,1,8244
15572182,Onwuamaeze,2,9878
15572265,Wu,2,851
15572291,Kao,1,3349
15572294,Kelly,1,8947
15572356,Tsai,3,8788
15572360,Clark,1,1299
15572361,Chill,2,7641
15572374,Hopetoun,3,9706
15572390,Huang,3,7112
15572398,Townsend,3,5556
15572408,Chambers,2,6190
15572415,Preston,1,8207
15572428,Rieke,2,8969
15572461,Kung,2,2445
15572467,Chandler,1,1831
15572547,Vaguine,1,4400
15572626,Mackenzie,3,3683
15572631,Ndubuisi,1,8286
15572657,H?,1,5073
15572706,Smith,1,7919
15572728,Ross,3,5052
15572735,Chang,3,6546
15572762,Matveyeva,2,4660
15572767,Shelby,1,9539
15572777,Meng,3,8149
15572792,Bellucci,3,3755
15572801,Krischock,3,5674
15572956,Steen,1,5316
15573045,Earl,1,8038
15573077,Nwora,2,7382
15573086,Millar,1,1008
15573112,Kang,3,287
15573152,Glassman,1,213
15573171,Liao,3,5656
15573242,Greene,1,2587
15573278,Kennedy,1,4976
15573280,Gallagher,2,2762
15573284,Olisanugo,1,5768
15573309,Ward,3,2074
15573318,Kung,1,528
15573319,Azubuike,2,3629
15573348,Maclean,1,6479
15573452,Manning,2,2931
15573456,Cunningham,3,393
15573520,Rhodes,2,7183
15573599,Adamson,1,3601
15573628,Greene,2,5824
15573730,Thompson,2,8655
15573741,Aliyeva,3,1853
15573769,Fiorentini,1,1195
15573798,Yermolayev,1,7473
15573851,Macrossan,1,5391
15573854,Chukwujekwu,1,9280
15573876,Chia,3,2199
15573888,Ponomaryov,2,4871
15573893,Barry,2,1827
15573926,Lung,3,3257
15573971,Mills,1,4878
15574004,Mancini,1,1376
15574012,Chu,3,6
15574068,Norman,2,1439
15574071,Muravyova,2,4855
15574072,Ch'ien,1,3306
15574115,Shaw,3,8619
15574119,Okwuadigbo,3,7710
15574122,Tien,1,3332
15574137,Ch'in,3,4853
15574142,Chuang,2,9433
15574167,Fox,1,2148
15574169,Trevisano,2,9095
15574206,Shillito,1,4540
15574213,Wilson,1,4216
15574237,Hsueh,1,6573
15574283,Padovano,1,6488
15574296,Kambinachi,1,3578
15574305,T'ang,1,3022
15574324,Genovese,2,2627
15574331,Alexeeva,2,1329
15574352,Clogstoun,1,4707
15574369,Bianchi,3,6434
15574372,Hoolan,1,3265
15574480,Ubanwa,3,9919
15574523,Cheng,1,9829
15574554,Pugh,2,8794
15574558,Gunter,3,6063
15574584,Fang,1,9886
15574608,Sidorova,1,9295
15574692,Pinto,3,169
15574743,Chiu,3,9026
15574761,Lynch,1,4965
15574783,Perkins,1,1892
15574795,Lombardo,1,5884
15574830,Townsley,2,8476
15574842,Lorenzo,2,2422
15574858,Page,1,8503
15574868,Lowell,2,4925
15574879,Wright,2,1726
15574886,Palerma,1,2416
15574910,Ferguson,1,2674
15574947,Cartwright,1,1869
15575002,Ferguson,1,3123
15575024,Uwaezuoke,1,668
15575060,Gardner,1,6383
15575119,Hughes,1,3318
15575146,Jamieson,2,7657
15575147,Wall,1,8413
15575185,Bushell,3,79
15575214,Ch'en,1,2760
15575243,Gorbunova,1,7115
15575247,Cartwright,1,3223
15575391,Claypool,1,8819
15575399,Somadina,1,6635
15575409,Rozhkova,2,1657
15575410,Chidiegwu,2,1234
15575417,Chou,2,1332
15575428,Mistry,2,5738
15575430,Robson,1,7530
15575438,Pease,1,7180
15575445,Ferguson,3,8557
15575486,Okoli,1,9320
15575492,Kennedy,1,129
15575498,Gould,1,4795
15575510,Milanesi,1,5292
15575581,Dickson,2,1147
15575605,Napolitano,1,7086
15575619,Teakle,3,6868
15575623,Simpson,1,6095
15575676,Chung,1,3982
15575679,Lori,1,6300
15575691,Palerma,1,4064
15575694,Yobachukwu,3,2997
15575748,Conti,1,3901
15575759,Bentley,3,5508
15575858,Bergamaschi,1,4872
15575883,Manna,1,836
15575935,Baxter,1,4902
15575955,Lujan,1,4416
15576000,Chibueze,1,6609
15576022,Nwachinemelu,1,8717
15576044,Macdonald,2,2799
15576065,Sims,3,9120
15576077,Kelly,1,8180
15576085,Stone,1,1809
15576094,Sung,1,3889
15576111,Reagan,2,8048
15576124,Muravyova,1,8677
15576126,Young,1,2743
15576131,Phillips,1,7821
