CustomerId,Surname,CreditScore,Geography,Gender,Age,AgeBand,Tenure,ContractType,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,PaymentMethod,MonthlyCharges,AnnualRevenueAtRisk,ChurnStatus,Exited
15634602,Hargrave,619,France,Female,42,30-44,2,Month-to-month,0.0,1,1,1,101348.88,Debit card,96.46,1157.52,Churned,1
15647311,Hill,608,Spain,Female,41,30-44,1,Month-to-month,83807.86,1,0,1,112542.58,Bank transfer,118.36,0.0,Retained,0
15619304,Onio,502,France,Female,42,30-44,8,Two year,159660.8,3,1,0,113931.57,Credit card,154.89,1858.68,Churned,1
15701354,Boni,699,France,Female,39,30-44,1,Month-to-month,0.0,2,0,0,93826.63,Electronic check,102.19,0.0,Retained,0
15737888,Mitchell,850,Spain,Female,43,30-44,2,Month-to-month,125510.82,1,1,1,79084.1,Credit card,96.73,0.0,Retained,0
15574012,Chu,645,Spain,Male,44,30-44,8,Two year,113755.78,2,1,0,149756.71,Credit card,165.86,1990.32,Churned,1
15592531,Bartlett,822,France,Male,50,45-59,7,Two year,0.0,2,1,1,10062.8,Debit card,32.39,0.0,Retained,0
15656148,Obinna,376,Germany,Female,29,18-29,4,One year,115046.74,4,1,0,119346.88,Credit card,164.71,1976.52,Churned,1
15792365,He,501,France,Male,44,30-44,4,One year,142051.07,2,0,1,74940.5,Bank transfer,107.76,0.0,Retained,0
15592389,H?,684,France,Male,27,18-29,2,Month-to-month,134603.88,1,1,1,71725.73,Credit card,91.96,0.0,Retained,0
15767821,Bearce,528,France,Male,31,30-44,6,One year,102016.72,2,0,0,80181.12,Bank transfer,106.12,0.0,Retained,0
15737173,Andrews,497,Spain,Male,24,18-29,3,One year,0.0,2,1,0,76390.01,Debit card,87.66,0.0,Retained,0
15632264,Kay,476,France,Female,34,30-44,10,Two year,0.0,2,1,0,26260.98,Debit card,45.88,0.0,Retained,0
15691483,Chin,549,France,Female,25,18-29,5,One year,0.0,2,0,0,190857.79,Electronic check,183.05,0.0,Retained,0
